"ID Card","CPAO","Owner","Acres","Unit","Block","Lot","St #","St Name","City"
"008101","Brevard","DAVID MOALLEM TRUST","0.23","cc8","81","1","1039","HOOPER AVE NE","Palm Bay"
"0147-02","Brevard","MOALLEM","0.23","6","147","2","5681","BABCOCK ST NE","Palm Bay"
"0147-03","Brevard","MOALLEM","0.23","6","147","3","5671","BABCOCK ST ","Palm Bay"
"053509","Brevard","MOALLEM","0.27","12","535","9","895","CARNATION AVE SE","Palm Bay"
"0776-01","Brevard","MOALLEM","0.27","16","776","1","1302","VAN BUREN AVE SE","Palm Bay"
"086510","Brevard","FARMERS AND MERCHANTS","0.26","22","865","10","2251","RAMROD LN SE","Palm Bay"
"088001","Brevard","MOALLEM","0.29","22","880","1","2596","RAYBURN AVE SE","Palm Bay"
"088714","Brevard","FARMERS AND MERCHANTS","0.28","22","887","14","1075","LAVA ST  SE","Palm Bay"
"088715","Brevard","FARMERS AND MERCHANTS","0.28","22","887","15","1067","LAVA ST  SE","Palm Bay"
"090307","Brevard","MOALLEM","0.31","22","903","7","799","PAIGO ST  SE","Palm Bay"
"090601","Brevard","FARMERS AND MERCHANTS","0.28","22","906","1","800","PAINESVILLE ST SE","Palm Bay"
"092603","Brevard","MOALLEM","0.23","18","926","3","1670","WESTLUND AVE SE","Palm Bay"
"109213","Brevard","MOALLEM","0.26","19","1092","13","567","TROY RD SW","Palm Bay"
"10D1","Brevard","MOALLEM","0.27","10","373","10","246","ELDRON BLVD SE","Palm Bay"
"10F","Brevard","MOALLEM","0.48","10","F","","417","ALVARADO AVE  SE","Palm Bay"
"10H","Brevard","MOALLEM","0.84","10","H","","300","ALGIERS AVE SE","Palm Bay"
"1100-03","Brevard","MOALLEM","0.23","19","1100","3","529","SANTO DOMINGO AVE SW","Palm Bay"
"112810","Brevard","DAVID MOALLEM TRUST","0.23","23","1128","10","3262","TORONTO AVE SE","Palm Bay"
"113112","Brevard","MOALLEM","0.27","23","1131","12","3294","TOPSEY AVE SE","Palm Bay"
"117503","Brevard","FARMERS AND MERCHANTS","0.25","24","1175","3","3000","TRIANGLE RD SE","Palm Bay"
"120409","Brevard","FARMERS AND MERCHANTS","0.33","24","1204","9","838","TEDDER RD  SE","Palm Bay"
"120506","Brevard","FARMERS AND MERCHANTS","0.41","24","1205","6","893","TEDDER RD  SE","Palm Bay"
"120702","Brevard","FARMERS AND MERCHANTS","0.30","24","1207","2","3187","SAN SALVADOR AV  SE","Palm Bay"
"120721","Brevard","FARMERS AND MERCHANTS","0.29","24","1207","21","3178","TROPICAL CR  SE","Palm Bay"
"120725","Brevard","FARMERS AND MERCHANTS","0.24","24","1207","25","987","SARASOTA DR  SE","Palm Bay"
"122320","Brevard","MOALLEM","0.25","24","1223","20","3247","TELESCA RD  SE","Palm Bay"
"129622","Brevard","MOALLEM","0.28","25","1296","22","3098","FONTAINEBLEAU AVE SE","Palm Bay"
"12A-F","Brevard","MOALLEM","1.48","12","A","","802","ARABIA RD SE","Palm Bay"
"130909","Brevard","FARMERS AND MERCHANTS","0.24","25","1309","9","3043","FLANDERS AV  SE","Palm Bay"
"131105","Brevard","FARMERS AND MERCHANTS","0.39","25","1311","5","2814","DAGGET AV  SE","Palm Bay"
"132405","Brevard","FARMERS AND MERCHANTS","0.28","25","1324","5","620","TOBIAS ST  SE","Palm Bay"
"132703","Brevard","FARMERS AND MERCHANTS","0.24","25","1327","3","416","READING ST  SE","Palm Bay"
"132725","Brevard","FARMERS AND MERCHANTS","0.25","25","1327","25","602","READING ST  SE","Palm Bay"
"132834","Brevard","MOALLEM","0.26","25","1328","34","599","READING ST SE","Palm Bay"
"132930","Brevard","FARMERS AND MERCHANTS","0.31","25","1329","30","571","FLYNN ST  SE","Palm Bay"
"133203","Brevard","FARMERS AND MERCHANTS","0.24","25","1332","3","2680","FOSTER  SE","Palm Bay"
"133209","Brevard","MOALLEM","0.30","25","1332","9","2626","KINGMAN AV  SE","Palm Bay"
"133314","Brevard","MOALLEM","0.30","25","1333","14","2621","KINGMAN AVE SE","Palm Bay"
"133529","Brevard","FARMERS AND MERCHANTS","0.24","25","1335","29","2713","LANSING RD  SE","Palm Bay"
"134302","Brevard","MOALLEM","0.24","25","1343","2","340","PAIGO ST  SE","Palm Bay"
"134704","Brevard","FARMERS AND MERCHANTS","0.31","25","1347","4","2726","FELIX RD  SE","Palm Bay"
"134717","Brevard","FARMERS AND MERCHANTS","0.23","25","1347","17","2749","DAHLIA RD  SE","Palm Bay"
"138424","Brevard","FARMERS AND MERCHANTS","0.42","30","1384","24","301","FENTON RD  SW","Palm Bay"
"141207","Brevard","FARMERS AND MERCHANTS","0.37","30","1412","7","424","LARINO RD  SW","Palm Bay"
"141319","Brevard","MOALLEM","0.38","30","1413","19","417","LARINO RD SW","Palm Bay"
"143201","Brevard","MOALLEM","0.30","30","1432","1","3001","LABREA AVE  SW","Palm Bay"
"143202","Brevard","DAVID MOALLEM TRUST","0.24","30","1432","2","3015","LABREA AV  SW","Palm Bay"
"144320","Brevard","MOALLEM","0.23","30","1443","20","521","FONDULAC ST SW","Palm Bay"
"144823","Brevard","MOALLEM","0.23","30","1448","23","535","HALIFAX ST SW","Palm Bay"
"1473-28","Brevard","MOALLEM","0.23","31","1473","28","521","OLD RD SW","Palm Bay"
"1473-29","Brevard","MOALLEM","0.26","31","1473","29","555","OLD RD SW","Palm Bay"
"147901","Brevard","FARMERS AND MERCHANTS","0.32","31","1479","1","507","OCTAVIUS ST SW","Palm Bay"
"147902","Brevard","FARMERS AND MERCHANTS","0.42","31","1479","2","501","OCTAVIUS ST  SW","Palm Bay"
"147914","Brevard","MOALLEM","0.23","31","1479","14","439","OAKMON RD  SW","Palm Bay"
"148808","Brevard","FARMERS AND MERCHANTS","0.23","31","1488","8","2428","FLEMING AV  SW","Palm Bay"
"148809","Brevard","FARMERS AND MERCHANTS","0.23","31","1488","9","2418","FLEMING AV  SW","Palm Bay"
"150007","Brevard","MOALLEM","0.23","31","1500","7","2425","HAGOPLAN AV  SW","Palm Bay"
"152","Brevard","EMILAND","0.23","32","1566","27","464","GARBELMANN ST SW","Palm Bay"
"153407","Brevard","MOALLEM","0.23","31","1534","7","394","HANFORD RD SW","Palm Bay"
"161506","Brevard","FARMERS AND MERCHANTS","0.28","32","1615","6","1308","DE GROODT RD  SW","Palm Bay"
"162707","Brevard","FARMERS AND MERCHANTS","0.33","32","1627","7","1186","SEXTON RD  SW","Palm Bay"
"1636-13","Brevard","MOALLEM","0.28","32","1636","13","1031","GARLINDA AVE SW","Palm Bay"
"16L","Brevard","MOALLEM","0.26","16","L","","1200","PARIS AVE SE","Palm Bay"
"170916","Brevard","MOALLEM","0.24","36","1709","16","390","SEABULL AVE SW","Palm Bay"
"185107","Brevard","MOALLEM","","41","1851","7","535","IVY CT NW","Palm Bay"
"186519","Brevard","DAVID MOALLEM TRUST","0.40","41","1865","19","1820","HOLBROOK RD NW","palm bay"
"1989.2.01","Brevard","MOALLEM","0.37","40","1989","2.01","416","THOR AVE SE","Palm Bay"
"1990-16","Brevard","MOALLEM","1.78","40","1990","16","590","THOR AVE SE","Palm Bay"
"199014","Brevard","MOALLEM","1.62","40","1990","14","581","THOR AVE  SE","Palm Bay"
"19E","Brevard","MOALLEM","0.23","19","1101","8","599","DE GROODT RD  SW","Palm Bay"
"20J","Brevard","MOALLEM","0.23","20","J","","2001","JUPITER BLVD  SE","Palm Bay"
"20O","Brevard","MOALLEM/PIRZADEH","3.88","20","O","","2250","JUPITER BD  SW","Palm Bay"
"20P","Brevard","MOALLEM","1.30","20","P","","577","TOWN RD  SW","Palm Bay"
"21J","Brevard","MOALLEM","6.49","21","J","","1221","GROGAN AVE NE","Palm Bay"
"21K","Brevard","MOALLEM","0.50","21","K","","0","GROGAN AVE  NE","Palm Bay"
"24C","Brevard","MOALLEM/PIRZADEH","4.19","24","C","","2731","SAN FILIPPO  SE","Palm Bay"
"253026","Brevard","MOALLEM","0.23","49","2530","26","3265","NIGHTHAWK  SW","Palm Bay"
"253534","Brevard","MOALLEM","0.24","49","2535","34","870","OWL ST SW","Palm Bay"
"253706","Brevard","MOALLEM","0.23","49","2537","6","854","BLUEJAY ST SW","Palm Bay"
"253719","Brevard","MOALLEM","0.23","49","2537","19","855","NIGHTENGALE ST ST SW","Palm Bay"
"253816","Brevard","MOALLEM","0.23","49","2538","16","831","BLUEJAY ST.  SW","Palm Bay"
"254004","Brevard","MOALLEM","0.23","49","2540","4","3175","SAGE AVE SW","Palm Bay"
"254409","Brevard","MOALLEM","0.23","49","2544","9","676","MISTLETOE ST SW","palm Bay"
"255008","Brevard","MOALLEM","0.25","49","2550","8","3037","MADDEN AVE SW","Palm Bay"
"255327","Brevard","MOALLEM","","49","2553","27","3034","ROSEMARY AVE NW","Palm Bay"
"255701","Brevard","MOALLEM","0.36","49","2557","1","796","TREASURE COVE ST SW","Palm Bay"
"255702","Brevard","MOALLEM","0.23","49","2557","2","782","TREASURE COVE ST SW","Palm Bay"
"255811","Brevard","MOALLEM","0.23","49","2558","11","656","SUNSHINE ST  SW","Palm Bay"
"255829","Brevard","MOALLEM","0.23","49","2558","29","783","TREASURE COVE ST SW","Palm Bay"
"255904","Brevard","MOALLEM","0.23","49","2559","4","754","STAR ST SW","Palm Bay"
"256017","Brevard","MOALLEM","0.23","49","2560","17","2877","ANJAR  SW","Palm Bay"
"2564-31","Brevard","MOALLEM","","49","2564","31","2894","BASIL AVE SW","Palm Bay"
"2564-32","Brevard","MOALLEM","0.50","49","2564","32,33","2896","BASIL AVE SW","Palm Bay"
"256417","Brevard","MOALLEM","0.36","49","2564","17","2824","BASIL AVE  SW","Palm Bay"
"256626","Brevard","MOALLEM","0.24","49","2566","26","2822"," ANJAR AV  SW","Palm Bay"
"256701","Brevard","MOALLEM","0.36","49","2567","1","788","KINGFISHER ST SW","Palm Bay"
"2569-18","Brevard","MOALLEM","0.23","49","2569","18","2651","VALENTINE AVE SW","Palm Bay"
"2569-19","Brevard","MOALLEM","0.23","49","2569","19","2665","VALENTINE AVE SW","Palm Bay"
"256914","Brevard","MOALLEM","0.25","49","2569","14","2601","VALENTINE AVE  SW","Palm Bay"
"2580-20","Brevard","MOALLEM","0.23","49","2580","20","709","PARROTFISH ST SW","Palm Bay"
"258222","Brevard","MOALLEM","0.23","49","2582","22","867","SALTWATER ST SW","Palm Bay"
"258413","Brevard","MOALLEM","0.27","49","2584","13","615","SAILBOAT ST  SW","Palm Bay"
"258731","Brevard","MOALLEM","0.33","49","2587","31","600","WISEMAN ST.  SW","Palm Bay"
"2596-17","Brevard","MOALLEM","0.23","49","2596","17","2273","HIBISCUS AVE SW","Palm Bay"
"25C","Brevard","MOALLEM","16.31","25","C","","500","GAGER ST  SE","Palm Bay"
"260818","Brevard","MOALLEM","0.23","49","2608","18","1998","ALWAR AVE  SW","Palm Bay"
"260916","Brevard","MOALLEM","0.37","49","2609","16","860","CONKLIN  SW","Palm Bay"
"261908","Brevard","MOALLEM","0.23","49","2619","8","831","BOMBARDIER BLVD  SW","Palm Bay"
"261909","Brevard","MOALLEM","0.23","49","2619","9","0","BOMBARDIER BLVD  SW","Palm Bay"
"261910","Brevard","MOALLEM","0.23","49","2619","10","0","BOMBARDIER BLVD  SW","Palm Bay"
"261911","Brevard","MOALLEM","0.23","49","2619","11","0","BOMBARDIER BLVD  SW","Palm Bay"
"261912","Brevard","MOALLEM","0.23","49","2619","12","0","BOMBARDIER BLVD  NW","Palm Bay"
"261918","Brevard","MOALLEM","0.26","49","2619","18","1758","MADDEN AVE  SW","Palm Bay"
"261920","Brevard","MOALLEM","0.24","49","2619","20","1722","MADDEN AVE AVE SW","Palm Bay"
"2621-01","Brevard","MOALLEM","0.31","49","2621","1","790","DIRKSON ST SW","Palm Bay"
"2624-06","Brevard","MOALLEM","0.23","49","2624","6","758","BURGESS ST SW","Palm Bay"
"262713","Brevard","MOALLEM","0.46","49","2627","13","773","PINTA TER  SE","Palm Bay"
"263322","Brevard","MOALLEM","0.26","49","2633","22","899","BOCA CHICA ST SW","Palm Bay"
"265814","Brevard","DAVID MOALLEM TRUST","0.23","50","2658","14","1306","ELDRON BLVD SE","Palm Bay"
"28E","Brevard","MOALLEM","0.52","28","E","","1534","GEORGIA ST NE","Palm Bay"
"32A","Brevard","MOALLEM","0.27","32","1567","9","435","LA COCO ST  SW","Palm Bay"
"32D","Brevard","MOALLEM","2.96","32","D","","1240","DEGROODT RD SW","Palm Bay"
"367A","Brevard","MOALLEM","0.24","36","1762","4","914","HARPER BLVD SW","Palm Bay"
"367B","Brevard","MOALLEM","0.24","36","1762","5","926","HARPER BLVD  SW","Palm Bay"
"4015","Brevard","BUCHANAN","2.21","40","1990","15","591","THOR AVE SE","Palm Bay"
"46A","Brevard","MOALLEM","0.27","46","A","","1690","WICHITA BLVD  SE","Palm Bay"
"491","Brevard","MOALLEM","0.23","49","2552","3","3082","SAGE AVE  SW","Palm Bay"
"49Q","Brevard","MOALLEM","0.43","49","Q","","633","LEAFY RD  SW","Palm Bay"
"82","Brevard","MOALLEM","0.24","25","1331","3","2608","PAIGO ST SE","Palm Bay"
"8F","Brevard","MOALLEM","0.83","8","F","","750","FIRESTONE ST NE","Palm Bay"
"999","Brevard","MOALLEM","0.24","","C","37","999","MANDARIN DR NE","Palm Bay"
"9F","Brevard","DAVID MOALLEM TRUST","0.57","9","F","","3995","JUPITER BLVD SE","Palm Bay"
"A100","Brevard","EMILAND","0.23","23","1110","20","1031","TOWHLEN ST  SE","Palm Bay"
"A117505","Brevard","EMILAND","0.23","24","1175","5","3040","TRIANGLE RD  SE","Palm Bay"
"A131","Brevard","EMILAND","0.24","23","1123","10","1166","WATERFORD ST  SE","Palm Bay"
"A132","Brevard","EMILAND","0.23","23","1123","12","1182","WATERFORD ST SE","Palm Bay"
"A134","Brevard","EMILAND","0.23","23","1123","16","1981","COGAN DR SE","Palm Bay"
"A135","Brevard","EMILAND","0.24","23","1123","19","1951","COGAN DR  SE","Palm Bay"
"A136","Brevard","EMILAND","0.23","23","1123","22","1921","COGAN DR  SE","Palm Bay"
"A14","Brevard","EMILAND","0.27","20","1033","11","482","TUNIS RD SW","Palm Bay"
"A1420-16","Brevard","EMILAND","0.23","30","1420","16","581","FLEETWOOD ST  SW","Palm Bay"
"A15","Brevard","EMILAND","0.24","20","1033","12","490","TUNIS RD SW","Palm Bay"
"A1558-24","Brevard","EMILAND","0.23","32","1558","24","1078","HARLINGEN RD SW","Palm Bay"
"A1748-14","Brevard","EMILAND","0.23","36","1748","14","1217","HARPER BLVD  SW","Palm Bay"
"A174813","Brevard","EMILAND","0.23","36","1748","13","1207","HARPER BLVD  SW","Palm Bay"
"A175716","Brevard","EMILAND","0.23","36","1757","16","1035","GEARY ST  SW","Palm Bay"
"A182","Brevard","EMILAND","0.23","23","1140","12","3104","WENDEL RD SE","Palm Bay"
"A186","Brevard","EMILAND","0.31","23","1143","29","1666","WEIMAN RD  SE","Palm Bay"
"A20","Brevard","EMILAND","0.30","22","868","3","1264","RAYFIELD AVE SE","Palm Bay"
"A233","Brevard","EMILAND","0.23","24","1173","9","1670","COGAN DR  SE","Palm Bay"
"A234","Brevard","SARALAND","0.23","24","1173","10","1678","COGAN DR  SE","Palm Bay"
"A235","Brevard","MPX","0.23","24","1173","11","1686","COGAN DR  SE","Palm Bay"
"A236","Brevard","EMILAND","0.23","24","1173","12","1694","COGAN DR  SE","Palm Bay"
"A251","Brevard","EMILAND","0.23","24","1187","13","3091","TINLEY RD  SE","Palm Bay"
"A252","Brevard","EMILAND","0.24","24","1187","14","0","TINLEY  ","Palm Bay"
"A261","Brevard","EMILAND","0.23","24","1224","2","3183","TELESCA RD  SE","Palm Bay"
"A262","Brevard","EMILAND","0.23","24","1224","3","3155","TELESCA RD  SE","Palm Bay"
"A28","Brevard","EMILAND","0.24","22","874","30","2339","RAMONA AVE  SE","Palm Bay"
"A287","Brevard","EMILAND","0.25","30","1367","16","385","JT SANCHO ST SW","Palm Bay"
"A300","Brevard","EMILAND","0.42","30","1375","30","261","LABRA RD SW","Palm Bay"
"A30C","Brevard","EMILAND","0.23","30","1452","15","3381","POMELLO AVE  SW","Palm Bay"
"A318","Brevard","EMILAND","0.46","30","1417","20","556","FAIRMONT ST  SW","Palm Bay"
"A32","Brevard","EMILAND","0.42","22","879","25","1059","PAPPAS RD SE","Palm Bay"
"A323","Brevard","EMILAND","0.23","30","1450","16","3358","NAVAJO AVE  SW","Palm Bay"
"A324","Brevard","EMILAND","0.23","30","1452","12","3390","FLORALA AVE  SW","Palm Bay"
"A325","Brevard","EMILAND","0.24","30","1452","14","3389","POMELLO AVE  SW","Palm Bay"
"A326","Brevard","EMILAND","0.23","30","1452","16","3373","POMELLO AVE  SW","Palm Bay"
"A33","Brevard","EMILAND","0.35","22","879","26","1055","PAPPAS RD SE","Palm Bay"
"A414","Brevard","EMILAND","0.23","32","1550","7","1079","GARVEY RD  SW","Palm Bay"
"A415","Brevard","EMILAND","0.27","32","1550","8","1091","GARVEY  SW","Palm Bay"
"A420","Brevard","EMILAND","0.23","32","1566","26","452","GARBELMANN ST  SW","Palm Bay"
"A426","Brevard","MOALLEM","0.27","32","1575","10","579","OCEAN SPRAY ST SW","Palm Bay"
"A475","Brevard","EMILAND","0.26","32","1627","1","1160","SEXTON  SW","Palm Bay"
"A489","Brevard","EMILAND","0.25","36","1704","10","1375","DANBURY ST  SW","Palm Bay"
"A512","Brevard","EMILAND","0.23","36","1713","17","417","FRONDA AVE  SW","Palm Bay"
"A513","Brevard","EMILAND","0.23","36","1721","17","556","HURLEY BLVD  SW","Palm Bay"
"A516","Brevard","EMILAND","0.27","36","1722","28","491","HURLEY BLVD  SW","Palm Bay"
"A533","Brevard","EMILAND","0.25","36","1732","24","515","SEARLE AVE SW","Palm Bay"
"A534","Brevard","EMILAND","0.26","36","1733","13","594","SEARLE AVE  SW","Palm Bay"
"A536","Brevard","EMILAND","0.23","36","1733","22","520","SEARLE AVE  SW","Palm Bay"
"A568","Brevard","EMILAND","0.24","36","1745","1","1398","DARLINGTON  SW","Palm Bay"
"A573","Brevard","EMILAND","0.24","36","1746","26","719","DARLINGTON AVE  SW","Palm Bay"
"A58","Brevard","EMILAND","0.27","22","900","1","2490","QUINCY  ","Palm Bay"
"A582","Brevard","EMILAND","0.26","36","1749","1","1298","LANDAU  SW","Palm Bay"
"A615","Brevard","EMILAND","0.23","36","1757","15","1043","GEARY ST  SW","Palm Bay"
"A616","Brevard","EMILAND","0.23","36","1757","21","999","GEARY ST  SW","Palm Bay"
"A623","Brevard","EMILAND","0.26","36","1765","13","994","YOUTZY ST SW","Palm Bay"
"A640","Brevard","EMILAND","0.25","37","1646","1","744","GEOFFREY AVE  SW","Palm Bay"
"A641","Brevard","EMILAND","0.26","37","1646","2","713","GEOFFREY AVE  SW","Palm Bay"
